"Model","MAE","RMSE","AIC","BIC"
"Auto ARIMA 1",1117.9693,1347.305,28998.61,29027.83
"Auto ARIMA 3",1117.9693,1347.305,28998.61,29027.83
"Auto ARIMA 0",1117.9693,1347.305,28998.61,29027.83
"Auto ARIMA 0",1117.9693,1347.305,28998.61,29027.83
"Auto ARIMA 1",1117.9693,1347.305,28998.61,29027.83
"Auto ARIMA 1",1117.9693,1347.305,28998.61,29027.83
"Auto ARIMA 0",1117.9693,1347.305,28998.61,29027.83
"Manual ARIMA(2,1,2)",1118.0691,1347.4482,29012.09,29041.3
